strategy,noise_rate,posterior_threshold,cases,accuracy,accuracy_ci_low,accuracy_ci_high,average_questions,questions_standard_error,brier_score
adaptive_heuristic,0.2,0.85,49,0.7959183673469388,0.6636272988905616,0.885182729571862,8.387755102040817,0.6322028197290115,0.3574643060360286
full_two_layer,0.2,0.85,49,0.8571428571428571,0.7333202681083708,0.9290366627945541,8.816326530612244,0.6092945712396182,0.20250498948747528
no_misreport,0.2,0.85,49,0.8163265306122449,0.6864212843271743,0.9002377116154164,6.775510204081633,0.6564106112520621,0.3135167597638972
