ablated_strategy,noise_rate,posterior_threshold,cases_per_seed,seeds,full_accuracy,ablated_accuracy,accuracy_difference,accuracy_difference_ci_low,accuracy_difference_ci_high,full_average_questions,ablated_average_questions,question_difference,question_difference_ci_low,question_difference_ci_high,full_brier_score,ablated_brier_score,brier_improvement,brier_improvement_ci_low,brier_improvement_ci_high,full_only_correct,ablated_only_correct,mcnemar_max_p
direct_reliable,0.0,0.6,4836,3,0.8870967741935484,0.795767852219465,0.09132892197408327,0.08222704714640199,0.101392335263303,5.386683209263854,3.556934105321202,1.829749103942652,1.74758064516129,1.9086038737248416,0.19391977227003662,0.29699280001460465,0.10307302774456804,0.09104125534873123,0.11453266216811804,1693,368,1.390134559681747e-63
direct_reliable,0.0,0.7,4836,3,0.9202508960573477,0.846774193548387,0.07347670250896057,0.0650658257513096,0.08195650675489384,5.876895505927764,3.7801902398676592,2.0967052660601047,2.0103356768679346,2.183278191342707,0.13822198820665935,0.24257076057165003,0.10434877236499067,0.09255709790223389,0.11487792592407531,1360,294,2.0478009135728948e-51
direct_reliable,0.0,0.8,4836,3,0.9379652605459058,0.8795836779707747,0.05838158257513096,0.050591053212020946,0.06568961952026468,6.296939619520264,4.0559691204852495,2.2409704990350154,2.15513682106424,2.3302074717397296,0.10387039407361794,0.20226844372288855,0.0983980496492706,0.08740514201083727,0.1101341063625132,1134,287,1.7047415164573906e-37
direct_reliable,0.0,0.85,4836,3,0.9432726771436449,0.8915081334436173,0.05176454370002757,0.04494072236007719,0.058521160738902664,6.677074717397297,4.207264957264957,2.4698097601323408,2.3788116901020127,2.5598325062034744,0.09120846036932635,0.1850360123462916,0.09382755197696525,0.08242276219922978,0.10446653759816953,1033,282,1.5377370039831091e-32
direct_reliable,0.0,0.9,4836,3,0.9471326164874552,0.9081196581196581,0.03901295836779708,0.03239591949269369,0.04535773366418525,7.141990625861593,4.45795423214778,2.684036393713813,2.5896712158808928,2.771989591949269,0.0825227107674429,0.1595047510792017,0.07698204031175877,0.06583412812943118,0.08768696413440401,855,289,5.124148192823124e-21
direct_reliable,0.0,0.95,4836,3,0.949820788530466,0.9253515301902399,0.02446925834022608,0.01874827681279294,0.030465949820788527,7.787772263578716,4.7182244279018475,3.069547835676868,2.9818014199062586,3.1633805486628064,0.07569743392839136,0.12865574499635687,0.052958311067965516,0.04400082575236945,0.061943652255504564,664,309,4.3372055753325703e-10
direct_reliable,0.1,0.6,4836,3,0.8219602977667494,0.734835952577888,0.08712434518886131,0.07892025089605734,0.0953973669699476,5.822098152743314,3.654742211193824,2.16735594154949,2.0929073614557487,2.249658808933003,0.2852817588249663,0.4070955812773671,0.12181382245240081,0.11031994612818577,0.1329681703046899,1803,539,8.183898715491728e-45
direct_reliable,0.1,0.7,4836,3,0.8520126826578439,0.7766749379652605,0.07533774469258339,0.0673404328646264,0.08285084091535704,6.413633857182244,3.890474221119382,2.523159636062862,2.4374655362558593,2.609668803418803,0.23425185859728445,0.36916082946333945,0.134908970866055,0.12364940632130642,0.14637976237175776,1615,522,7.458712658284511e-36
direct_reliable,0.1,0.8,4836,3,0.8718637992831542,0.8023848910945685,0.06947890818858561,0.06237937689550592,0.07685587262200164,6.945409429280397,4.1788668320926385,2.7665425971877586,2.683326440584505,2.852222911497105,0.19787145589998836,0.3441864792211658,0.1463150233211775,0.13396856552647932,0.1578002709735734,1501,493,2.1253347291023517e-33
direct_reliable,0.1,0.85,4836,3,0.8794458229942101,0.8119658119658121,0.06748001102839812,0.06065618968844776,0.07485697546181416,7.350771987868762,4.3524262475875375,2.9983457402812244,2.9041873449131512,3.0959556796250345,0.1809383379911544,0.3333797766452415,0.15244143865408707,0.1408281888617281,0.16395925362247296,1485,506,2.2101789043221998e-32
