strategy,noise_rate,posterior_threshold,cases,accuracy,accuracy_ci_low,accuracy_ci_high,average_questions,questions_standard_error,brier_score
direct_reliable,0.0,0.6,4836,0.795767852219465,0.7841729752488016,0.8068932006910611,3.556934105321202,0.051963974602834924,0.29699280001460465
direct_reliable,0.0,0.7,4836,0.846774193548387,0.8363471168582279,0.8566507696841746,3.7801902398676592,0.05334949579785204,0.24257076057165003
direct_reliable,0.0,0.8,4836,0.8795836779707747,0.870108644618929,0.888456126040783,4.0559691204852495,0.05554963553345211,0.20226844372288855
direct_reliable,0.0,0.85,4836,0.8915081334436173,0.8824301634454598,0.8999645882064674,4.207264957264957,0.0565648717524404,0.1850360123462916
direct_reliable,0.0,0.9,4836,0.9081196581196581,0.8996512532700954,0.9159401771050915,4.45795423214778,0.059183502827591335,0.1595047510792017
direct_reliable,0.0,0.95,4836,0.9253515301902399,0.9176020074881452,0.9324258116041159,4.7182244279018475,0.06135579151611931,0.12865574499635687
direct_reliable,0.1,0.6,4836,0.734835952577888,0.7222135935130419,0.7470855119232461,3.654742211193824,0.05296867409696549,0.4070955812773671
direct_reliable,0.1,0.7,4836,0.7766749379652605,0.7647219172860096,0.7881887399553348,3.890474221119382,0.05468764537098501,0.36916082946333945
direct_reliable,0.1,0.8,4836,0.8023848910945685,0.7909267414267199,0.8133630077804993,4.1788668320926385,0.056983271879915566,0.3441864792211658
direct_reliable,0.1,0.85,4836,0.8119658119658121,0.8007093645816251,0.8227270167522875,4.3524262475875375,0.05829917182638509,0.3333797766452415
direct_reliable,0.1,0.9,4836,0.8257513096222774,0.8148054220710502,0.8361800702365216,4.58857182244279,0.0604069723884367,0.31502233641775906
direct_reliable,0.1,0.95,4836,0.8380204025365315,0.8273706630806794,0.8481335379934495,4.875792666115246,0.06285666402392738,0.29554221090050764
direct_reliable,0.2,0.6,4836,0.6677005789909015,0.6542967725081603,0.6808381624864065,3.7134684312103663,0.05363784354129016,0.5302504211959436
direct_reliable,0.2,0.7,4836,0.7039564378274056,0.6909328981724311,0.71665619868286,3.9583677970774747,0.05546551899909288,0.5039989676083868
direct_reliable,0.2,0.8,4836,0.7261510890543148,0.7134074729833717,0.7385356925395108,4.256203473945409,0.05781450011987865,0.4883725667562006
