strategy,noise_rate,posterior_threshold,cases,accuracy,accuracy_ci_low,accuracy_ci_high,average_questions,questions_standard_error,brier_score
direct_reliable,0.0,0.85,49,0.8979591836734694,0.7828297527831645,0.9552251130800948,4.183673469387755,0.5119136208717563,0.18962695739184468
direct_reliable,0.2,0.85,49,0.7448979591836735,0.6082542829351293,0.8459333268268764,4.7857142857142865,0.5947068000265281,0.47320067892588213
full_two_layer,0.0,0.85,49,0.9897959183673469,0.9101810092932767,0.9981942102307346,6.63265306122449,0.5438698439417171,0.03287477966773391
full_two_layer,0.2,0.85,49,0.8571428571428571,0.7333202681083708,0.9290366627945541,8.03061224489796,0.5934536632319701,0.22424797798370705
no_misreport,0.0,0.85,49,0.9693877551020408,0.8779647402770736,0.9925615117667705,5.459183673469388,0.48969947411924697,0.06291675942653135
no_misreport,0.2,0.85,49,0.826530612244898,0.698027608816011,0.9075558708666633,6.724489795918368,0.626886202287355,0.31798851529783756
unknown_as_negative,0.0,0.85,49,0.8979591836734694,0.7828297527831645,0.9552251130800948,4.142857142857143,0.5073382294689712,0.19004485878889799
unknown_as_negative,0.2,0.85,49,0.6530612244897959,0.5131093521943979,0.7707579039068555,4.724489795918368,0.6209490506748805,0.6041475865044055
