ablated_strategy,noise_rate,posterior_threshold,cases_per_seed,seeds,full_accuracy,ablated_accuracy,accuracy_difference,accuracy_difference_ci_low,accuracy_difference_ci_high,full_average_questions,ablated_average_questions,question_difference,question_difference_ci_low,question_difference_ci_high,full_only_correct,ablated_only_correct,mcnemar_max_p
direct_reliable,0.0,0.85,49,2,0.9897959183673469,0.8979591836734694,0.09183673469387756,0.02040816326530612,0.16326530612244897,6.63265306122449,4.183673469387755,2.4489795918367347,1.5076530612244898,3.4977040816326523,9,0,0.125
direct_reliable,0.2,0.85,49,2,0.8571428571428571,0.7448979591836735,0.11224489795918367,0.04081632653061224,0.1836734693877551,8.03061224489796,4.7857142857142865,3.2448979591836733,2.341581632653061,4.132908163265304,14,3,0.22656250000000058
no_misreport,0.0,0.85,49,2,0.9897959183673469,0.9693877551020408,0.02040816326530612,0.0,0.05102040816326531,6.63265306122449,5.459183673469388,1.1734693877551021,0.49362244897959184,1.895153061224489,2,0,1.0
no_misreport,0.2,0.85,49,2,0.8571428571428571,0.826530612244898,0.030612244897959183,-0.04081632653061224,0.13801020408163256,8.03061224489796,6.724489795918368,1.3061224489795917,0.7433673469387755,1.8318877551020407,8,5,1.0
unknown_as_negative,0.0,0.85,49,2,0.9897959183673469,0.8979591836734694,0.09183673469387756,0.00969387755102041,0.17346938775510204,6.63265306122449,4.142857142857143,2.489795918367347,1.661734693877551,3.607908163265306,9,0,0.125
unknown_as_negative,0.2,0.85,49,2,0.8571428571428571,0.6530612244897959,0.20408163265306123,0.1375,0.30127551020408155,8.03061224489796,4.724489795918368,3.306122448979592,2.422704081632653,4.387755102040816,22,2,0.012939453125000073
