strategy,noise_rate,posterior_threshold,cases,accuracy,accuracy_ci_low,accuracy_ci_high,average_questions,questions_standard_error,brier_score
eig,0.0,0.6,980,0.8816326530612245,0.8599014272898086,0.900383561675895,5.653061224489796,0.1284905836542256,0.20316194014007685
eig,0.0,0.7,980,0.9163265306122449,0.8973220598611003,0.9320797462833035,6.163265306122449,0.12973187657265778,0.14495113704879994
eig,0.0,0.8,980,0.9316326530612244,0.9140871467161844,0.9458073728894105,6.579591836734694,0.1339605572561944,0.11366857097346884
eig,0.0,0.85,980,0.9428571428571428,0.926520884212799,0.9557349585976698,6.981632653061224,0.13854899501224716,0.09309666213197078
eig,0.0,0.9,980,0.9479591836734694,0.9322211850383204,0.9601988955925456,7.441836734693878,0.1411917676711296,0.08202589350248754
eig,0.0,0.95,980,0.9510204081632653,0.9356584147006284,0.9628602086224756,8.11734693877551,0.14296462830329182,0.07443932937344608
eig,0.1,0.6,980,0.8326530612244898,0.807992330508556,0.8547159753813353,5.884693877551021,0.1321811480577984,0.2756950764351755
eig,0.1,0.7,980,0.8663265306122448,0.8435834990091862,0.8862087764953259,6.4806122448979595,0.1338432930932766,0.21784120241261537
eig,0.1,0.8,980,0.8857142857142857,0.8642703125161092,0.9041460667059119,7.042857142857143,0.1398748473741676,0.1829891997887829
eig,0.1,0.85,980,0.9,0.8796269055538417,0.9172493395652914,7.406122448979592,0.14333144029005185,0.15942212301523292
eig,0.1,0.9,980,0.9061224489795918,0.8862427936216282,0.9228305368819814,7.933673469387755,0.14621665236522965,0.14407082130424945
eig,0.1,0.95,980,0.9102040816326531,0.8906661869934447,0.9265385337664827,8.68265306122449,0.14744211233934454,0.13311437816270244
eig,0.2,0.6,980,0.710204081632653,0.6810228469567818,0.7377437512435789,6.423469387755102,0.13957326304138634,0.44664902021983016
eig,0.2,0.7,980,0.7459183673469387,0.7177376279040627,0.7721786350390777,7.128571428571429,0.14337297541424499,0.39530623483890837
eig,0.2,0.8,980,0.7826530612244897,0.7557533651758576,0.8073454100741421,7.76530612244898,0.14787126313952068,0.3351671251416994
eig,0.2,0.85,980,0.7948979591836735,0.7684892285461278,0.8190037174728249,8.255102040816327,0.15091772739924453,0.3096119867420842
eig,0.2,0.9,980,0.8040816326530612,0.7780642004652989,0.8277243736303685,8.835714285714285,0.1522035493995215,0.29002826925747466
eig,0.2,0.95,980,0.8183673469387756,0.7930006270154442,0.8412478129773353,9.674489795918367,0.15114846420271424,0.25999220270429046
eig,0.3,0.6,980,0.65,0.6196038809431152,0.6792247109765597,6.935714285714286,0.1460964732926093,0.5301720513653604
eig,0.3,0.7,980,0.6673469387755102,0.6372444010152369,0.6961425994937882,7.65204081632653,0.14855385744368516,0.5009752082317387
eig,0.3,0.8,980,0.6877551020408164,0.6580553968781494,0.7159885549124642,8.347959183673469,0.1522370529191739,0.47156371225196725
eig,0.3,0.85,980,0.6979591836734694,0.6684850921177042,0.7258873353137035,8.839795918367347,0.15483949300991712,0.4518127648370765
eig,0.3,0.9,980,0.7040816326530612,0.6747509062139248,0.7318186066019594,9.473469387755102,0.15330698027161613,0.4280036558634284
eig,0.3,0.95,980,0.7204081632653061,0.6914900066287503,0.7476050672124047,10.187755102040816,0.14941038171048995,0.39680482281531
prevalence,0.0,0.6,980,0.7561224489795918,0.7282703544535347,0.7819743841303999,8.539795918367346,0.15176817068631038,0.3713375443869415
prevalence,0.0,0.7,980,0.7826530612244897,0.7557533651758576,0.8073454100741421,9.920408163265305,0.14296567246535857,0.3205004684421642
prevalence,0.0,0.8,980,0.7989795918367347,0.7727422575413277,0.8228820787339427,11.341836734693878,0.12626075854414964,0.2864998901088588
prevalence,0.0,0.85,980,0.7989795918367347,0.7727422575413277,0.8228820787339427,11.94795918367347,0.11773381619930032,0.2822806149860532
prevalence,0.0,0.9,980,0.8071428571428572,0.7812604533734385,0.8306266634144673,12.625510204081632,0.10838234573217034,0.26851718642235256
prevalence,0.0,0.95,980,0.8081632653061225,0.7823263946968293,0.831593569655156,13.416326530612245,0.08773219192822689,0.2648775187963357
prevalence,0.1,0.6,980,0.7040816326530612,0.6747509062139248,0.7318186066019594,8.98469387755102,0.15228637343405907,0.4488960907371437
prevalence,0.1,0.7,980,0.7306122448979592,0.7019750697742934,0.7574484797076558,10.401020408163266,0.1414338683947532,0.401742950532307
prevalence,0.1,0.8,980,0.7520408163265306,0.7240548604841028,0.7780584878435142,11.798979591836735,0.1235385157284143,0.36242971013677927
prevalence,0.1,0.85,980,0.7551020408163265,0.7272161768121415,0.7809957142077137,12.376530612244897,0.11405799198337076,0.3557560501439572
prevalence,0.1,0.9,980,0.7602040816326531,0.7324891156479637,0.7858870131922887,12.98265306122449,0.10182991011262459,0.3445150290261038
prevalence,0.1,0.95,980,0.763265306122449,0.7356553645674534,0.7888193069650374,13.78061224489796,0.07803175135645345,0.33881004191037417
prevalence,0.2,0.6,980,0.6306122448979592,0.5999390023637631,0.6602654858384028,9.525510204081632,0.15214816866437708,0.5302137805899088
prevalence,0.2,0.7,980,0.6581632653061225,0.6278998352627876,0.6871915371695227,10.798979591836735,0.1383148076896706,0.4889352131221717
prevalence,0.2,0.8,980,0.6704081632653062,0.6403620300356349,0.6991235131656285,12.183673469387756,0.11770990350113789,0.4623526679538969
