subset,comparison,a,b,level,metric,statistic,point_estimate,boot_mean,ci_low,ci_high,boot_std,n_pairs
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.1,nll,mean_paired_delta,-0.01501837,-0.01507429,-0.02707101,-0.00351904,0.00606084,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.1,margin,mean_paired_delta,0.00049793,0.0005031,-0.00249372,0.00351071,0.00153589,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.1,total_questions,mean_paired_delta,0.03469388,0.03448095,0.00442177,0.06496599,0.01537211,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.1,unnecessary_verification_rate,rate_delta,-0.02806755,-0.02818549,-0.04533173,-0.0113026,0.0087145,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.1,conflict_resolution_rate,rate_delta,0.0280454,0.0281455,0.01109949,0.04543555,0.00874135,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2,top1,mean_paired_delta,0.0047619,0.00473935,0.00102041,0.0085034,0.00193495,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2,top3,mean_paired_delta,0.00306122,0.00304578,0.0,0.00612245,0.00157581,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2,brier,mean_paired_delta,-0.00382823,-0.00379874,-0.00820314,0.00056486,0.00224136,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2,nll,mean_paired_delta,-0.01181568,-0.01174016,-0.02454171,0.00080918,0.00643625,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2,margin,mean_paired_delta,0.00089418,0.00089151,-0.00158984,0.00343661,0.00128468,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2,total_questions,mean_paired_delta,-0.0085034,-0.00845888,-0.03265306,0.01666667,0.0125051,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2,unnecessary_verification_rate,rate_delta,-0.01619991,-0.01620647,-0.02584445,-0.00696994,0.0047891,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2,conflict_resolution_rate,rate_delta,0.01463826,0.01463159,0.00552057,0.02401655,0.00472464,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.3,top1,mean_paired_delta,0.00170068,0.00170126,-0.00238095,0.00612245,0.00218763,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.3,top3,mean_paired_delta,0.00306122,0.00308799,-0.00034014,0.00680272,0.00179557,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.3,brier,mean_paired_delta,-0.0038105,-0.00381644,-0.00980824,0.00204583,0.00301016,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.3,nll,mean_paired_delta,-0.01671734,-0.01674237,-0.03434071,0.00041685,0.00892737,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.3,margin,mean_paired_delta,-0.00246873,-0.00247931,-0.00544464,0.00034679,0.0014822,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.3,total_questions,mean_paired_delta,0.01564626,0.01551748,-0.01156463,0.04387755,0.01397554,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.3,unnecessary_verification_rate,rate_delta,-0.00923247,-0.00922152,-0.01680553,-0.00179028,0.00382079,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.3,conflict_resolution_rate,rate_delta,0.00563262,0.00562826,-0.00164454,0.01284016,0.00367383,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,top1,mean_paired_delta,0.00323129,0.00322031,0.00034014,0.00595238,0.00143476,5880
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,top3,mean_paired_delta,0.00306122,0.00306689,0.00085034,0.00544218,0.00116952,5880
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,brier,mean_paired_delta,-0.00381936,-0.00380759,-0.00742947,-0.00020893,0.00184331,5880
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,nll,mean_paired_delta,-0.01426651,-0.01424127,-0.02516411,-0.00366575,0.0054683,5880
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,margin,mean_paired_delta,-0.00078727,-0.0007939,-0.00281684,0.00112485,0.00099781,5880
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,total_questions,mean_paired_delta,0.00357143,0.0035293,-0.01547619,0.02278912,0.00977749,5880
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,unnecessary_verification_rate,rate_delta,-0.01133119,-0.01132546,-0.01751647,-0.00519645,0.00315134,5880
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,conflict_resolution_rate,rate_delta,0.00881439,0.00880572,0.00286526,0.01487558,0.00306686,5880
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.0,top1,mean_paired_delta,0.00306122,0.00306412,-0.00034014,0.00680272,0.0018336,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.0,top3,mean_paired_delta,0.0,1.024e-05,-0.00238095,0.00238095,0.00115083,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.0,brier,mean_paired_delta,0.00213602,0.0021239,-0.00087599,0.00522673,0.00154805,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.0,nll,mean_paired_delta,0.00669062,0.00665068,-0.00079863,0.01427195,0.0038252,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.0,margin,mean_paired_delta,-0.0032159,-0.00320213,-0.00639597,-8.597e-05,0.00159736,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.0,total_questions,mean_paired_delta,0.09217687,0.09219099,0.07380952,0.11088435,0.00951932,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.0,unnecessary_verification_rate,rate_delta,-0.08598433,-0.08604367,-0.12777174,-0.04182079,0.02160664,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.0,conflict_resolution_rate,rate_delta,0.08598433,0.08604367,0.04183682,0.1277864,0.02160664,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.1,top1,mean_paired_delta,0.00442177,0.0044001,-0.00034014,0.00918367,0.00249729,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.1,top3,mean_paired_delta,0.0037415,0.00374228,-0.00034014,0.00782313,0.00201617,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.1,brier,mean_paired_delta,-0.00646662,-0.00646624,-0.01171907,-0.00121533,0.00268083,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.1,nll,mean_paired_delta,-0.01980712,-0.01981143,-0.03493658,-0.00549474,0.0076174,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.1,margin,mean_paired_delta,0.00136095,0.00136109,-0.00250945,0.00528462,0.00196233,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.1,total_questions,mean_paired_delta,0.07823129,0.07803551,0.04421769,0.11156463,0.0172184,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.1,unnecessary_verification_rate,rate_delta,-0.05241765,-0.05250852,-0.07652379,-0.02867608,0.01227262,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.1,conflict_resolution_rate,rate_delta,0.05365613,0.05372715,0.03021449,0.07784428,0.01224618,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2,top1,mean_paired_delta,0.0037415,0.00372646,-0.00238095,0.00986395,0.0030544,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2,top3,mean_paired_delta,0.00272109,0.00271473,-0.00204082,0.00748299,0.00237804,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2,brier,mean_paired_delta,-0.00472567,-0.00471601,-0.01172816,0.00216199,0.00352089,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2,nll,mean_paired_delta,-0.02223875,-0.02223351,-0.04180784,-0.00298077,0.0098264,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2,margin,mean_paired_delta,-0.00154405,-0.00155367,-0.00584855,0.00265813,0.0021738,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2,total_questions,mean_paired_delta,0.05238095,0.05232599,0.01598639,0.08945578,0.01884471,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2,unnecessary_verification_rate,rate_delta,-0.03965626,-0.03964642,-0.05815602,-0.02172659,0.0092926,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2,conflict_resolution_rate,rate_delta,0.03274372,0.03273066,0.01496839,0.05083648,0.00917385,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.3,top1,mean_paired_delta,0.00170068,0.00169248,-0.00646259,0.00986395,0.00408787,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.3,top3,mean_paired_delta,0.00544218,0.00545279,-0.00102041,0.01190476,0.00336231,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.3,brier,mean_paired_delta,-0.00288572,-0.0028669,-0.01337905,0.00770765,0.00536077,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.3,nll,mean_paired_delta,-0.03083847,-0.03081616,-0.06154806,-0.00077318,0.0154188,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.3,margin,mean_paired_delta,-0.00411033,-0.00414244,-0.01025176,0.00185949,0.00309641,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.3,total_questions,mean_paired_delta,0.08163265,0.08150548,0.03639456,0.12755102,0.02286217,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.3,unnecessary_verification_rate,rate_delta,-0.04336153,-0.04338148,-0.06136726,-0.02551195,0.00908865,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.3,conflict_resolution_rate,rate_delta,0.03770984,0.03774259,0.02019341,0.05539948,0.00905137,2940
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,top1,mean_paired_delta,0.00272109,0.00270947,-0.00221088,0.00765306,0.00246758,5880
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,top3,mean_paired_delta,0.00408163,0.00408376,0.00017007,0.0079932,0.00199206,5880
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,brier,mean_paired_delta,-0.0038057,-0.00379146,-0.01005829,0.00241253,0.00315971,5880
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,nll,mean_paired_delta,-0.02653861,-0.02652484,-0.04463675,-0.00881678,0.0090932,5880
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,margin,mean_paired_delta,-0.00282719,-0.00284805,-0.00664575,0.00094514,0.00193537,5880
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,total_questions,mean_paired_delta,0.0670068,0.06691573,0.03758503,0.09693878,0.01503281,5880
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,unnecessary_verification_rate,rate_delta,-0.04071515,-0.04071512,-0.05375666,-0.02786838,0.00662515,5880
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,conflict_resolution_rate,rate_delta,0.03465873,0.03466396,0.02170555,0.04775585,0.00662097,5880
