subset,comparison,a,b,level,metric,statistic,point_estimate,boot_mean,ci_low,ci_high,boot_std,n_pairs
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,brier,mean_paired_delta,0.00298014,0.00297648,-0.00284912,0.00887365,0.00299481,4410
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,nll,mean_paired_delta,-0.00329236,-0.00328374,-0.02069454,0.01403769,0.00888365,4410
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,margin,mean_paired_delta,-0.00196286,-0.0019903,-0.00558514,0.00168193,0.00186768,4410
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,total_questions,mean_paired_delta,0.06417234,0.06431109,0.03786848,0.09138322,0.01366414,4410
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,unnecessary_verification_rate,rate_delta,-0.0315724,-0.03156727,-0.04515245,-0.01806948,0.00693585,4410
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,conflict_resolution_rate,rate_delta,0.02831369,0.02830273,0.01479056,0.04177756,0.00685677,4410
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.0,top1,mean_paired_delta,0.00226757,0.00227211,-0.00226757,0.00680272,0.00232568,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.0,top3,mean_paired_delta,-0.00045351,-0.00046916,-0.00226757,0.00136054,0.00099096,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.0,brier,mean_paired_delta,0.00142805,0.00143619,-0.00195578,0.00487393,0.00173558,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.0,nll,mean_paired_delta,0.00393265,0.00397018,-0.00314657,0.01143653,0.00371976,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.0,margin,mean_paired_delta,-0.00299347,-0.0029983,-0.00667996,0.00038384,0.00178804,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.0,total_questions,mean_paired_delta,0.09750567,0.09738426,0.07619048,0.11927438,0.01093649,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.0,unnecessary_verification_rate,rate_delta,-0.08313604,-0.08374321,-0.12871361,-0.03827751,0.02326275,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.0,conflict_resolution_rate,rate_delta,0.08313604,0.08374321,0.03833671,0.12871419,0.02326275,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.1,top1,mean_paired_delta,0.00090703,0.00091556,-0.00408163,0.00589569,0.00254355,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.1,top3,mean_paired_delta,0.00181406,0.00179565,-0.00226757,0.00589569,0.00202793,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.1,brier,mean_paired_delta,-0.00441422,-0.00442755,-0.00991607,0.0007388,0.00273468,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.1,nll,mean_paired_delta,-0.01432426,-0.01436221,-0.02944564,-0.00067667,0.00734053,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.1,margin,mean_paired_delta,0.00036352,0.00037391,-0.0033994,0.00417095,0.00191973,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.1,total_questions,mean_paired_delta,0.03265306,0.03228313,-0.00090703,0.06530612,0.01693008,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.1,unnecessary_verification_rate,rate_delta,-0.02545653,-0.02561709,-0.04597156,-0.00542027,0.01028288,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.1,conflict_resolution_rate,rate_delta,0.02622292,0.02635425,0.00636843,0.04682834,0.01027307,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2,top1,mean_paired_delta,0.00408163,0.00409828,-0.00045351,0.00861678,0.00226239,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2,top3,mean_paired_delta,0.00272109,0.00270807,-0.00090703,0.00634921,0.00186081,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2,brier,mean_paired_delta,-0.00425071,-0.0042642,-0.00933725,0.00074466,0.00257252,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2,nll,mean_paired_delta,-0.01228793,-0.01225605,-0.0265769,0.00199063,0.00727863,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2,margin,mean_paired_delta,-0.00023226,-0.00024939,-0.00314295,0.00254065,0.00144657,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2,total_questions,mean_paired_delta,-0.00770975,-0.007741,-0.03628118,0.02131519,0.01488533,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2,unnecessary_verification_rate,rate_delta,-0.01424257,-0.01426417,-0.02508496,-0.00351477,0.00551329,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2,conflict_resolution_rate,rate_delta,0.01340658,0.01342373,0.00280303,0.02424799,0.00547242,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.3,top1,mean_paired_delta,0.00544218,0.00543184,0.00045351,0.01043084,0.00254039,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.3,top3,mean_paired_delta,0.00408163,0.00405705,0.00045351,0.00816327,0.00201552,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.3,brier,mean_paired_delta,-0.00783075,-0.00781622,-0.0148667,-0.00100344,0.00350639,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.3,nll,mean_paired_delta,-0.02424588,-0.02417821,-0.04559737,-0.00396474,0.01054354,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.3,margin,mean_paired_delta,-0.0025519,-0.00253345,-0.00594252,0.00089501,0.00173901,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.3,total_questions,mean_paired_delta,0.02267574,0.02249791,-0.01088435,0.05714286,0.01743324,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.3,unnecessary_verification_rate,rate_delta,-0.00961091,-0.00967719,-0.01849809,-0.00087997,0.00444468,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.3,conflict_resolution_rate,rate_delta,0.00708265,0.00713415,-0.00122237,0.01563588,0.00432561,2205
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,top1,mean_paired_delta,0.0047619,0.00476506,0.0015873,0.00816327,0.00167733,4410
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,top3,mean_paired_delta,0.00340136,0.00338256,0.00068027,0.00612245,0.00135622,4410
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,brier,mean_paired_delta,-0.00604073,-0.00604021,-0.01027214,-0.00188213,0.00213461,4410
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,nll,mean_paired_delta,-0.01826691,-0.01821713,-0.03122787,-0.00612638,0.00644818,4410
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,margin,mean_paired_delta,-0.00139208,-0.00139142,-0.00358872,0.00076178,0.00110429,4410
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,total_questions,mean_paired_delta,0.00748299,0.00737846,-0.01655329,0.03151927,0.01208145,4410
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,unnecessary_verification_rate,rate_delta,-0.01066293,-0.01070686,-0.01772059,-0.00338052,0.0036556,4410
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,conflict_resolution_rate,rate_delta,0.0090974,0.00913087,0.00206844,0.0162565,0.00358703,4410
primary,total,joint_gate_w1.0,rank_only_w0.0,0.0,top1,mean_paired_delta,0.00272109,0.00271655,-0.00136054,0.00725624,0.00219658,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.0,top3,mean_paired_delta,0.0,-2.472e-05,-0.00226757,0.00226757,0.00108341,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.0,brier,mean_paired_delta,0.00128634,0.00129906,-0.00204845,0.00471033,0.00173078,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.0,nll,mean_paired_delta,0.00315486,0.00321138,-0.00407034,0.01085781,0.00379933,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.0,margin,mean_paired_delta,-0.00303084,-0.00303631,-0.00672918,0.00037858,0.00180275,2205
