strategy,noise_rate,posterior_threshold,cases,accuracy,accuracy_ci_low,accuracy_ci_high,average_questions,questions_standard_error,brier_score
direct_reliable,0.0,0.85,49,0.8775510204081632,0.7575533759811903,0.9426525224019018,4.224489795918367,0.5173099500704164,0.22864421931252948
full_two_layer,0.0,0.85,49,0.9795918367346939,0.8930623153224584,0.9963884204614692,6.571428571428571,0.5430259059449009,0.043728815537692464
no_misreport,0.0,0.85,49,0.9591836734693877,0.8628671652316889,0.9887346030720717,5.387755102040816,0.4819234045698861,0.08298338938438822
unknown_as_negative,0.0,0.85,49,0.8775510204081632,0.7575533759811903,0.9426525224019018,4.142857142857143,0.5081591672648462,0.2293240691737678
