noise_rate,posterior_threshold,cases_per_seed,seeds,eig_accuracy,baseline_accuracy,accuracy_difference,accuracy_difference_ci_low,accuracy_difference_ci_high,eig_average_questions,baseline_average_questions,questions_saved,questions_saved_ci_low,questions_saved_ci_high,eig_only_correct,baseline_only_correct,mcnemar_max_p
0.0,0.6,4836,3,0.8870967741935484,0.666115246760408,0.22098152743314034,0.20774572649572648,0.23325234353460159,5.386683209263854,10.109456851392336,4.72277364212848,4.576082161566033,4.864859043286462,3840,634,9.194446006321453e-181
0.0,0.7,4836,3,0.9202508960573477,0.6705955334987593,0.24965536255858836,0.23696925834022606,0.26289116349600217,5.876895505927764,10.58174800110284,4.704852495175076,4.556787634408602,4.841411634960022,4046,424,2.347053009127145e-241
0.0,0.8,4836,3,0.9379652605459058,0.6721119382409705,0.26585332230493525,0.253375723738627,0.27867555831265506,6.296939619520264,11.313964709126,5.017025089605735,4.882826716294458,5.153365384615384,4164,307,6.558664515623862e-281
0.0,0.85,4836,3,0.9432726771436449,0.673697270471464,0.2695754066721809,0.25661359250068927,0.2818444995864351,6.677074717397297,11.781293079680177,5.104218362282879,4.965103735869865,5.235130617590295,4182,271,8.789231259193801e-294
0.0,0.9,4836,3,0.9471326164874552,0.6740419079128758,0.27309070857457957,0.2606131100082713,0.28556830714088777,7.141990625861593,12.284877309070858,5.142886683209264,5.016096291701131,5.271181417149159,4213,251,1.5732525449176006e-301
0.0,0.95,4836,3,0.949820788530466,0.6742486903777226,0.2755720981527433,0.2628894403087952,0.28908360904328645,7.787772263578716,12.73042459332782,4.942652329749104,4.823888544251448,5.075063757926661,4231,233,3.29887593715e-313
0.1,0.6,4836,3,0.8219602977667494,0.6044940722360077,0.21746622553074169,0.20560897435897435,0.22953025916735592,5.822098152743314,10.028260270195753,4.20616211745244,4.072294596084919,4.3437448304383794,4112,957,1.3467935294397164e-147
0.1,0.7,4836,3,0.8520126826578439,0.6124896608767577,0.23952302178108628,0.22752791563275432,0.2515198511166252,6.413633857182244,10.605045492142267,4.191411634960022,4.059136338571823,4.320323269920044,4267,792,9.233455118670996e-180
0.1,0.8,4836,3,0.8718637992831542,0.6235180590019299,0.24834574028122416,0.23696925834022606,0.2606165563826854,6.945409429280397,11.436862420733389,4.4914529914529915,4.364750482492418,4.620895368072787,4257,654,9.004475900473779e-201
0.1,0.85,4836,3,0.8794458229942101,0.6279294182519989,0.25151640474221115,0.23972980424593326,0.2635115108905431,7.350771987868762,11.950165425971877,4.599393438103116,4.474753584229391,4.716721808657292,4246,597,3.0781731614768405e-212
0.1,0.9,4836,3,0.8879239040529363,0.6295836779707747,0.25834022608216156,0.24668975737524124,0.2708850289495451,7.869175627240144,12.462917011304109,4.593741384063964,4.471045285359801,4.712506892748828,4292,544,1.4548207192197124e-227
0.1,0.95,4836,3,0.894403087951475,0.6303418803418803,0.26406120760959473,0.2519299696719051,0.2759167355941549,8.588158257513095,12.949269368624208,4.361111111111111,4.244273848910945,4.482440722360077,4327,496,3.247927557667566e-242
0.2,0.6,4836,3,0.7407637165701683,0.5462503446374414,0.19451337193272678,0.1827250482492418,0.2074028122415219,6.2424179762889445,9.869106699751862,3.6266887234629173,3.49668458781362,3.757313206506755,4143,1321,1.3456720786065423e-108
0.2,0.7,4836,3,0.7736421284808381,0.5543148607664737,0.2193272677143645,0.20719430658946786,0.2307003032809484,6.9584367245657575,10.579266611524675,3.620829886958919,3.490210573476702,3.7475961538461537,4291,1109,3.5134572579557017e-143
0.2,0.8,4836,3,0.7935621725944307,0.5682382133995038,0.22532395919492695,0.21381306865177832,0.23752757099531288,7.563688999172871,11.544044665012407,3.9803556658395367,3.8611696994761506,4.109630893300248,4283,1014,1.5047122988762706e-155
0.2,0.85,4836,3,0.8014888337468982,0.5735456299972429,0.22794320374965535,0.21601702508960569,0.23862696443341605,8.016956162117452,12.104562999724289,4.087606837606838,3.9658808933002483,4.2083005927764,4277,970,4.368335515754837e-159
0.2,0.9,4836,3,0.8112765370829887,0.5775434243176178,0.23373311276537082,0.2220826440584505,0.2451750758202371,8.617659222497933,12.656947890818858,4.039288668320927,3.9273917838433965,4.151509511993384,4298,907,3.767800284247473e-166
0.2,0.95,4836,3,0.8205128205128206,0.5791976840363938,0.2413151364764268,0.2300110283981252,0.2526192445547284,9.395092362834298,13.175282602701957,3.7801902398676592,3.6687896333057624,3.8846153846153846,4349,848,5.61707562563048e-177
0.3,0.6,4836,3,0.6609456851392336,0.48097601323407774,0.17996967190515575,0.16866556382685413,0.19106699751861042,6.609525778880617,9.690239867659223,3.080714088778605,2.9545854011579817,3.20306382685415,4132,1521,1.6429143041577868e-88
0.3,0.7,4836,3,0.6855527984560243,0.4933829611248966,0.19216983733112764,0.18114143920595532,0.2036118003859939,7.395092362834298,10.523573200992557,3.1284808381582576,3.015918803418803,3.2415960159911767,4211,1423,3.460858510293761e-104
0.3,0.8,4836,3,0.7049214226633582,0.5100634132892198,0.19485800937413839,0.1839640198511166,0.2066446098704163,8.122553074165976,11.607113316790736,3.4845602426247586,3.3717965949820785,3.596229666390957,4176,1349,6.622173215618205e-107
0.3,0.85,4836,3,0.7109870416322028,0.515164047422112,0.19582299421009097,0.1844465122690929,0.20726495726495728,8.563482216708023,12.216018748276815,3.65253653156879,3.5371467466225526,3.763663151364764,4145,1304,6.058387540632685e-109
0.3,0.9,4836,3,0.7215329473393989,0.5175765095119934,0.20395643782740555,0.19272125723738626,0.21519161841742485,9.227460711331679,12.780259167355942,3.552798456024262,3.442481734215605,3.6655638268541497,4199,1240,3.745310627475406e-117
0.3,0.95,4836,3,0.7302178108629721,0.5186793493245107,0.21153846153846154,0.1998879928315412,0.22319237661979593,10.038185828508409,13.3471188309898,3.3089330024813894,3.2020230217810863,3.4167355941549493,4244,1175,2.3418631734487143e-128
