strategy,noise_rate,posterior_threshold,cases,accuracy,accuracy_ci_low,accuracy_ci_high,average_questions,questions_standard_error,brier_score
eig,0.0,0.85,49,0.9795918367346939,0.8930623153224584,0.9963884204614692,6.571428571428571,0.5430259059449009,0.043728815537692464
eig,0.1,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,7.551020408163265,0.6197238603189001,0.08744645235114476
medrag_rdc,0.0,0.85,49,0.7346938775510204,0.5973744384734165,0.8378886875485057,12.612244897959183,0.5734776138059241,0.4208405461074217
medrag_rdc,0.1,0.85,49,0.7142857142857143,0.5759085079389967,0.8215056506027583,12.489795918367347,0.5866219582765276,0.43341996228792934
